
NIF, Carrer de DIRECCIÓN CIUDAD,https://www.google.com/maps/preview/place/C.+de+Direcci%C3%B3n,+06691+Pantano+de+Cijara,+C%C3%A1ceres/@39.3897645,-5.0054868,3084a,13.1y/data\\u003d!4m2!3m1!1s0xd6acd902be059f9:0x7092e4c24b229629\
H60511474, AVENIDA CANOVELLAS 21 CANOVELLAS,https://www.google.com/maps/preview/place/Avinguda+de+Canovelles,+21,+08420+Canovelles,+Barcelona/@41.6166638,2.2769918,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7b37192dd9b:0xecb0d95e0cc8a211\
H58796210, AVENIDA CATALUÑA 137 08150 PARETS DEL VALLES BARCELONA,https://www.google.com/maps/preview/place/Av.+Catalunya,+137,+08150+Parets+del+Vall%C3%A8s,+Barcelona/@41.566773,2.2299088,2985a,13.1y/data\\u003d!4m2!3m1!1s0x12a4b8b10b63d38f:0xae162af324c23b35\
H64719685, AVENIDA DE MARIE CURIE 21 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Av.+de+Marie+Curie,+21,+08402+Granollers,+Barcelona/@41.594676,2.2891148,2984a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7e93e2f15ef:0x111bf43ab1159353\
H59538223, AVENIDA SANT ESTEVE 35 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Av.+Sant+Esteve,+35,+08402+Granollers,+Barcelona/@41.6036334,2.2907727,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c49cbb8eeb:0xe2954c19d93d8471\
H60562915, AVENIDA SANT ESTEVE 37 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Av.+Sant+Esteve,+37,+08402+Granollers,+Barcelona/@41.6034819,2.2908013,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c49d3f505d:0xc42993556d268b4c\
H59596387, AVENIDA SANT ESTEVE 63 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Av.+Sant+Esteve,+63,+08402+Granollers,+Barcelona/@41.6019327,2.2906556,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c30dbb41dd:0x242b367ace37faf9\
H60937083, AVENIDA SANT ESTEVE 88 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Av.+Sant+Esteve,+88,+08402+Granollers,+Barcelona/@41.601574,2.2902524,2984a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c30865aaef:0x9c9d0dd49ec5abef\
H64769508, AVENIDA SANT JERONI 10 12 08105 SANT FOST DE CAMPSENTELLES BARCELONA,https://www.google.com/maps/preview/place/Av.+Sant+Jeroni,+10,+12,+08105+Sant+Fost+de+Campsentelles,+Barcelona/@41.5233058,2.2235296,2987a,13.1y/data\\u003d!4m2!3m1!1s0x12a4becb33cdd531:0x9e8aabcc5047ccf8\
H62704416, AVENIDA VILASSAR DE DALT 10 08188 VALLROMANES BARCELONA,https://www.google.com/maps/preview/place/Avinguda+de+Vilassar+de+Dalt,+10,+08188+Vallromanes,+Barcelona/@41.5315159,2.3005554,2987a,13.1y/data\\u003d!4m2!3m1!1s0x12a4b9d65ab827a3:0x5777c3cec83ff087\
H62704416, AVENIDA VILASSAR DE DALT 12 08188 VALLROMANES BARCELONA,https://www.google.com/maps/preview/place/Avinguda+de+Vilassar+de+Dalt,+12,+08188+Vallromanes,+Barcelona/@41.531534,2.3006383,2987a,13.1y/data\\u003d!4m2!3m1!1s0x12a4b9d64539b905:0x2cafdeb23b63e756\
H62704408, AVENIDA VILASSAR DE DALT 6 08188 VALLROMANES BARCELONA,https://www.google.com/maps/preview/place/Avinguda+de+Vilassar+de+Dalt,+6,+08188+Vallromanes,+Barcelona/@41.531388,2.2999146,2987a,13.1y/data\\u003d!4m2!3m1!1s0x12a4b9d6f8161297:0xb7c86326e939c8ce\
H62704408, AVENIDA VILASSAR DE DALT 8 08188 VALLROMANES BARCELONA,https://www.google.com/maps/preview/place/Avinguda+de+Vilassar+de+Dalt,+8,+08188+Vallromanes,+Barcelona/@41.5313402,2.2999437,2987a,13.1y/data\\u003d!4m2!3m1!1s0x12a4b9d6f8655555:0x90bef5a6a7d30bc0\
H59508853, AVENIR 21 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Carrer+Avenir,+21,+08420+Canovelles,+Barcelona/@41.6155433,2.2792432,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7b45ce44c5f:0x1d2d1ecd6a98d336\
H61365649, BALMES 25 27 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Carrer+de+Jaume+Balmes,+25,+27,+08401+Granollers,+Barcelona/@41.6090958,2.2837774,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c8721c867d:0x8554316ab29a6bab\
H61892659, BALMES 6 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/C.+Jaume+Balmes,+6,+08401+Granollers,+Barcelona/@41.6103874,2.2849866,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c8575bdbbf:0x1dc479d1f50f012f\
, BANYS 73 08530 LA GARRIGA BARCELONA,https://www.google.com/maps/preview/place/Carrer+dels+Banys,+73,+08530+La+Garriga,+Barcelona/@41.6808238,2.2864601,2980a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c5946075d46b:0x65a247c6c5c262aa\
H63850531, Carrer de BARCELONA 106 GRANOLLERS,https://www.google.com/maps/preview/place/Carrer+de+Barcelona,+106,+08401+Granollers,+Barcelona/@41.6048328,2.286931,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c697af8539:0xcca976af1a477bdb\
H63428361, Carrer de BARCELONA 12D CANOVELLAS,https://www.google.com/maps/preview/place/Carrer+Barcelona,+12,+08420+Canovelles,+Barcelona/@41.6197582,2.2785054,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c64b44f83647:0xf7d3d402b4ee6e6e\
H63428320, Carrer de BARCELONA 12E CANOVELLAS,https://www.google.com/maps/preview/place/Carrer+Barcelona,+12e,+08420+Canovelles,+Barcelona/@41.6197169,2.2785526,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c64b466be07b:0xa999eff2e6bb9715\
H63954341, BARCELONA 136 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Activita+Centre+M%C3%A8dic,+Carrer+de+Joan+Prim,+136,+146,+08402+Granollers,+Barcelona/@41.6131673,2.2903874,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7ce7e84cbe1:0x65a3d2582dbf5613\
H59563056, Carrer de BARCELONA 18 CANOVELLAS,https://www.google.com/maps/preview/place/Carrer+Barcelona,+18,+08420+Canovelles,+Barcelona/@41.6214783,2.2786374,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c64b9b0298af:0x7789c2759e107e5\
H59657809, Carrer de BARCELONA 19 GRANOLLERS,https://www.google.com/maps/preview/place/Carrer+de+Barcelona,+19,+08401+Granollers,+Barcelona/@41.607271,2.2870405,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c612aa5f03:0xb919998492d65c1f\
H60475944, Carrer de BARCELONA 20 CANOVELLAS,https://www.google.com/maps/preview/place/Carrer+Barcelona,+20,+08420+Canovelles,+Barcelona/@41.6216234,2.2786501,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c64b9a8cb3cd:0xcbe04a9f8caf194b\
B62000724, Carrer de BARCELONA 26 GRANOLLERS,https://www.google.com/maps/preview/place/Carrer+de+Barcelona,+26,+08401+Granollers,+Barcelona/@41.6071639,2.2869385,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c66d30748f:0x9ee657a2a54e21e6\
H60209137, BERTRAN DE SEVA 40 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Carrer+Bertran+de+Seva,+40,+08402+Granollers,+Barcelona/@41.6148408,2.2948931,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7d24b96d6eb:0x33b879e3e62b0fa1\
